index,Average Skill Match Proportion Before,Average Skill Match Proportion After,Median Skill Match Proportion Before,Median Skill Match Proportion After,Semantics Before_precision_avg,Semantics After_precision_avg,Semantics Before_recall_avg,Semantics After_recall_avg,Semantics Before_f1_avg,Semantics After_f1_avg,Semantics Before_hashcode,Semantics After_hashcode,BLEU Before_bleu,BLEU After_bleu,BLEU Before_precisions_avg,BLEU After_precisions_avg,BLEU Before_brevity_penalty,BLEU After_brevity_penalty,BLEU Before_length_ratio,BLEU After_length_ratio,BLEU Before_translation_length,BLEU After_translation_length,BLEU Before_reference_length,BLEU After_reference_length
Gemma-2-9b-it,0.046847385799714,0.08306021121238848,0.0,0.0,0.8047925072366541,0.7959415372935208,0.8131620210951025,0.7942638652974909,0.8089156034859744,0.7948368964411996,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.44.2),roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.44.2),0.04800494989574816,0.04618049405104367,0.09420729998088533,0.0947336017396572,1.0,0.9947249992690701,1.0973387096774194,0.9947388632872504,285747,259030,260400,260400
LLama-3-8b,0.06726350753081693,0.35593000713891254,0.023255813953488372,0.25806451612903225,0.8047925072366541,0.8203518657250838,0.8131620210951025,0.8366690686616031,0.8089156034859744,0.8283833887360312,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.44.2),roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.44.2),0.04800494989574816,0.12048645821921428,0.09420729998088533,0.15165385715217644,1.0,1.0,1.0973387096774194,1.2533717357910907,285747,326378,260400,260400
Gemini-Pro,0.05793650793650794,0.3934863366376777,0.03571428571428571,0.3035714285714286,0.8341192928729234,0.8375001157875415,0.8371603660009526,0.8426390836636225,0.8356188497057667,0.840015783905983,roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.44.2),roberta-large_L17_no-idf_version=0.3.12(hug_trans=4.44.2),0.29609933377157616,0.4006541905205944,0.3332410717070645,0.4263105459838439,1.0,1.0,3.5889112003569834,3.049494273389856,96513,82007,26892,26892
